latitude,longitude,category,name,safety_score,description
11.019105,77.019061,hospital,Hospital 33,6,Emergency medical services available nearby.
11.095555,76.933029,night_patrol_point,Night Patrol Point 34,6,Regular police patrol during night.
11.012643,76.898523,school_zone,School Zone 35,9,Frequent pedestrian movement; safer during day.
11.007159,77.003336,school_zone,School Zone 36,6,Frequent pedestrian movement; safer during day.
11.002387,76.878757,school_zone,School Zone 37,10,Frequent pedestrian movement; safer during day.
11.053979,76.967288,police_station,Police Station 38,6,Nearby police presence improves safety.
10.981931,76.912028,crime_hotspot,Reported Incident Zone 39,1,Area with past reported theft or incidents; caution advised.
10.953571,76.913001,night_patrol_point,Night Patrol Point 40,10,Regular police patrol during night.
10.974083,76.854694,busy_market,Market Area 41,4,Crowded area; safe but watch for pickpocketing.
11.050073,77.042213,crime_hotspot,Reported Incident Zone 42,1,Area with past reported theft or incidents; caution advised.
11.045335,76.957665,isolated_area,Isolated Stretch 43,1,Low foot traffic; avoid during late hours.
10.95964,76.917873,isolated_area,Isolated Stretch 44,2,Low foot traffic; avoid during late hours.
10.999063,77.001849,night_patrol_point,Night Patrol Point 45,8,Regular police patrol during night.
11.089641,77.024557,isolated_area,Isolated Stretch 46,2,Low foot traffic; avoid during late hours.
11.035782,76.851127,school_zone,School Zone 47,8,Frequent pedestrian movement; safer during day.
11.04537,76.913922,night_patrol_point,Night Patrol Point 48,6,Regular police patrol during night.
11.053771,76.978432,community_watch,Community Watch Point 49,8,Active local community monitoring area.
11.004183,76.974142,crime_hotspot,Reported Incident Zone 50,3,Area with past reported theft or incidents; caution advised.
11.088505,76.985602,community_watch,Community Watch Point 51,7,Active local community monitoring area.
11.092451,76.989062,traffic_risk,Accident Prone Area 52,1,High accident probability due to traffic conditions.
11.005727,76.996282,hospital,Hospital 53,8,Emergency medical services available nearby.
11.026651,77.014682,isolated_area,Isolated Stretch 54,3,Low foot traffic; avoid during late hours.
11.087844,76.87165,traffic_risk,Accident Prone Area 55,2,High accident probability due to traffic conditions.
11.014023,76.973082,busy_market,Market Area 56,4,Crowded area; safe but watch for pickpocketing.
11.095617,76.936449,school_zone,School Zone 57,7,Frequent pedestrian movement; safer during day.
11.092577,76.916872,night_patrol_point,Night Patrol Point 58,7,Regular police patrol during night.
11.061832,76.859269,community_watch,Community Watch Point 59,9,Active local community monitoring area.
11.02309,76.927761,hospital,Hospital 60,8,Emergency medical services available nearby.
10.966602,76.939056,community_watch,Community Watch Point 61,9,Active local community monitoring area.
11.016994,77.012796,police_station,Police Station 62,10,Nearby police presence improves safety.
11.066633,76.972705,busy_market,Market Area 63,4,Crowded area; safe but watch for pickpocketing.
11.098506,77.03541,hospital,Hospital 64,7,Emergency medical services available nearby.
11.044749,76.978255,school_zone,School Zone 65,9,Frequent pedestrian movement; safer during day.
10.987481,77.012936,police_station,Police Station 66,10,Nearby police presence improves safety.
11.083039,76.886996,police_station,Police Station 67,8,Nearby police presence improves safety.
10.955928,76.916163,hospital,Hospital 68,8,Emergency medical services available nearby.
11.07643,76.993953,school_zone,School Zone 69,10,Frequent pedestrian movement; safer during day.
11.0728,76.965386,traffic_risk,Accident Prone Area 70,3,High accident probability due to traffic conditions.
10.957631,76.90086,police_station,Police Station 71,7,Nearby police presence improves safety.
11.076141,76.867213,community_watch,Community Watch Point 72,9,Active local community monitoring area.
11.031149,77.042945,community_watch,Community Watch Point 73,10,Active local community monitoring area.
11.09482,76.965529,crime_hotspot,Reported Incident Zone 74,1,Area with past reported theft or incidents; caution advised.
10.992838,76.901873,well_lit_area,Well Lit Street 75,6,Street has good lighting; relatively safer at night.
10.955649,76.924218,busy_market,Market Area 76,4,Crowded area; safe but watch for pickpocketing.
11.092568,77.025975,night_patrol_point,Night Patrol Point 77,8,Regular police patrol during night.
10.997882,76.87341,traffic_risk,Accident Prone Area 78,1,High accident probability due to traffic conditions.
11.045261,76.956269,isolated_area,Isolated Stretch 79,3,Low foot traffic; avoid during late hours.
11.047947,77.041199,hospital,Hospital 80,8,Emergency medical services available nearby.
11.098846,76.90762,hospital,Hospital 81,10,Emergency medical services available nearby.
11.004966,77.018104,busy_market,Market Area 82,6,Crowded area; safe but watch for pickpocketing.
10.964432,76.944177,well_lit_area,Well Lit Street 83,8,Street has good lighting; relatively safer at night.
10.963127,76.973134,busy_market,Market Area 84,6,Crowded area; safe but watch for pickpocketing.
11.099002,76.861111,traffic_risk,Accident Prone Area 85,2,High accident probability due to traffic conditions.
11.021124,76.934924,community_watch,Community Watch Point 86,9,Active local community monitoring area.
11.043856,76.939109,busy_market,Market Area 87,6,Crowded area; safe but watch for pickpocketing.
10.960366,77.04887,isolated_area,Isolated Stretch 88,4,Low foot traffic; avoid during late hours.
10.985684,77.047478,traffic_risk,Accident Prone Area 89,3,High accident probability due to traffic conditions.
11.018569,77.028924,busy_market,Market Area 90,4,Crowded area; safe but watch for pickpocketing.
10.994368,77.032812,traffic_risk,Accident Prone Area 91,4,High accident probability due to traffic conditions.
11.028149,76.962133,night_patrol_point,Night Patrol Point 92,8,Regular police patrol during night.
11.005596,76.995916,community_watch,Community Watch Point 93,10,Active local community monitoring area.
11.045812,77.037672,community_watch,Community Watch Point 94,7,Active local community monitoring area.
11.081438,76.959216,crime_hotspot,Reported Incident Zone 95,1,Area with past reported theft or incidents; caution advised.
11.008839,77.024834,isolated_area,Isolated Stretch 96,4,Low foot traffic; avoid during late hours.
10.951472,77.025077,school_zone,School Zone 97,10,Frequent pedestrian movement; safer during day.
11.05032,76.89063,hospital,Hospital 98,10,Emergency medical services available nearby.
11.035663,77.000477,hospital,Hospital 99,6,Emergency medical services available nearby.
11.053344,76.856574,well_lit_area,Well Lit Street 100,8,Street has good lighting; relatively safer at night.
10.996239,76.859296,busy_market,Market Area 101,5,Crowded area; safe but watch for pickpocketing.
11.080953,76.99884,busy_market,Market Area 102,4,Crowded area; safe but watch for pickpocketing.
11.032329,76.991721,crime_hotspot,Reported Incident Zone 103,4,Area with past reported theft or incidents; caution advised.
10.9511,76.856649,police_station,Police Station 104,8,Nearby police presence improves safety.
10.95824,76.867829,hospital,Hospital 105,7,Emergency medical services available nearby.
11.020871,77.020965,well_lit_area,Well Lit Street 106,10,Street has good lighting; relatively safer at night.
11.088304,76.865654,traffic_risk,Accident Prone Area 107,1,High accident probability due to traffic conditions.
10.984703,77.006551,isolated_area,Isolated Stretch 108,1,Low foot traffic; avoid during late hours.
10.966428,76.92175,isolated_area,Isolated Stretch 109,4,Low foot traffic; avoid during late hours.
11.053925,77.004381,school_zone,School Zone 110,10,Frequent pedestrian movement; safer during day.
11.028557,76.995289,night_patrol_point,Night Patrol Point 111,9,Regular police patrol during night.
11.061746,76.948343,busy_market,Market Area 112,5,Crowded area; safe but watch for pickpocketing.
11.005843,76.971702,isolated_area,Isolated Stretch 113,3,Low foot traffic; avoid during late hours.
10.966049,76.969788,hospital,Hospital 114,8,Emergency medical services available nearby.
11.045064,76.952985,night_patrol_point,Night Patrol Point 115,9,Regular police patrol during night.
10.956727,77.022449,night_patrol_point,Night Patrol Point 116,10,Regular police patrol during night.
11.002922,77.044733,traffic_risk,Accident Prone Area 117,2,High accident probability due to traffic conditions.
11.057925,76.890806,police_station,Police Station 118,9,Nearby police presence improves safety.
11.050095,77.036278,crime_hotspot,Reported Incident Zone 119,3,Area with past reported theft or incidents; caution advised.
10.982679,76.98995,traffic_risk,Accident Prone Area 120,1,High accident probability due to traffic conditions.
11.072903,76.857577,night_patrol_point,Night Patrol Point 121,6,Regular police patrol during night.
11.045532,76.855403,community_watch,Community Watch Point 122,8,Active local community monitoring area.
11.092319,76.936018,isolated_area,Isolated Stretch 123,2,Low foot traffic; avoid during late hours.
11.048634,76.906881,traffic_risk,Accident Prone Area 124,3,High accident probability due to traffic conditions.
10.98895,77.031791,traffic_risk,Accident Prone Area 125,2,High accident probability due to traffic conditions.
11.087383,77.009774,school_zone,School Zone 126,10,Frequent pedestrian movement; safer during day.
10.970223,77.005656,isolated_area,Isolated Stretch 127,2,Low foot traffic; avoid during late hours.
10.998097,76.932913,traffic_risk,Accident Prone Area 128,1,High accident probability due to traffic conditions.
11.017245,76.860487,isolated_area,Isolated Stretch 129,2,Low foot traffic; avoid during late hours.
11.048959,77.014268,night_patrol_point,Night Patrol Point 130,10,Regular police patrol during night.
11.029982,76.954175,night_patrol_point,Night Patrol Point 131,8,Regular police patrol during night.
10.993083,76.948671,hospital,Hospital 132,10,Emergency medical services available nearby.
11.060044,76.945504,isolated_area,Isolated Stretch 133,2,Low foot traffic; avoid during late hours.
10.987266,76.964266,night_patrol_point,Night Patrol Point 134,7,Regular police patrol during night.
11.04956,76.89428,community_watch,Community Watch Point 135,10,Active local community monitoring area.
11.052142,76.932287,hospital,Hospital 136,7,Emergency medical services available nearby.
10.993067,76.897874,busy_market,Market Area 137,6,Crowded area; safe but watch for pickpocketing.
11.096602,76.999304,night_patrol_point,Night Patrol Point 138,6,Regular police patrol during night.
11.047921,76.979375,school_zone,School Zone 139,6,Frequent pedestrian movement; safer during day.
10.959135,77.024691,school_zone,School Zone 140,8,Frequent pedestrian movement; safer during day.
10.978179,77.014918,hospital,Hospital 141,8,Emergency medical services available nearby.
11.069759,76.957849,hospital,Hospital 142,10,Emergency medical services available nearby.
11.031155,77.000121,police_station,Police Station 143,10,Nearby police presence improves safety.
11.02746,76.929228,night_patrol_point,Night Patrol Point 144,9,Regular police patrol during night.
11.077812,76.942257,crime_hotspot,Reported Incident Zone 145,3,Area with past reported theft or incidents; caution advised.
10.961502,76.995104,hospital,Hospital 146,6,Emergency medical services available nearby.
11.020021,77.043974,busy_market,Market Area 147,5,Crowded area; safe but watch for pickpocketing.
11.01612,76.956211,traffic_risk,Accident Prone Area 148,3,High accident probability due to traffic conditions.
11.023752,77.041276,well_lit_area,Well Lit Street 149,8,Street has good lighting; relatively safer at night.
11.090793,76.961755,community_watch,Community Watch Point 150,9,Active local community monitoring area.
11.044187,76.878651,school_zone,School Zone 151,6,Frequent pedestrian movement; safer during day.
10.973411,76.902069,traffic_risk,Accident Prone Area 152,4,High accident probability due to traffic conditions.
10.968417,76.945146,school_zone,School Zone 153,7,Frequent pedestrian movement; safer during day.
11.063039,76.867679,community_watch,Community Watch Point 154,8,Active local community monitoring area.
11.049548,76.87611,night_patrol_point,Night Patrol Point 155,10,Regular police patrol during night.
11.057541,77.046783,night_patrol_point,Night Patrol Point 156,7,Regular police patrol during night.
10.975787,77.048766,community_watch,Community Watch Point 157,7,Active local community monitoring area.
11.001014,76.913201,crime_hotspot,Reported Incident Zone 158,1,Area with past reported theft or incidents; caution advised.
10.999633,76.979822,isolated_area,Isolated Stretch 159,4,Low foot traffic; avoid during late hours.
11.050244,76.927615,hospital,Hospital 160,7,Emergency medical services available nearby.
10.971345,76.873267,community_watch,Community Watch Point 161,9,Active local community monitoring area.
11.039478,76.875537,school_zone,School Zone 162,8,Frequent pedestrian movement; safer during day.
11.067782,76.927362,isolated_area,Isolated Stretch 163,4,Low foot traffic; avoid during late hours.
11.002594,76.881963,crime_hotspot,Reported Incident Zone 164,1,Area with past reported theft or incidents; caution advised.
10.984972,77.024523,school_zone,School Zone 165,9,Frequent pedestrian movement; safer during day.
10.958936,76.919173,crime_hotspot,Reported Incident Zone 166,1,Area with past reported theft or incidents; caution advised.
11.074958,77.015852,crime_hotspot,Reported Incident Zone 167,3,Area with past reported theft or incidents; caution advised.
11.072305,76.942343,well_lit_area,Well Lit Street 168,9,Street has good lighting; relatively safer at night.
11.006829,77.00092,hospital,Hospital 169,9,Emergency medical services available nearby.
11.045004,76.993724,traffic_risk,Accident Prone Area 170,4,High accident probability due to traffic conditions.
11.065739,76.936674,isolated_area,Isolated Stretch 171,2,Low foot traffic; avoid during late hours.
11.031937,76.996356,hospital,Hospital 172,6,Emergency medical services available nearby.
11.096822,77.016329,busy_market,Market Area 173,6,Crowded area; safe but watch for pickpocketing.
11.048954,76.892285,crime_hotspot,Reported Incident Zone 174,4,Area with past reported theft or incidents; caution advised.
11.083391,76.988405,well_lit_area,Well Lit Street 175,8,Street has good lighting; relatively safer at night.
11.086843,76.912495,school_zone,School Zone 176,6,Frequent pedestrian movement; safer during day.
10.995005,76.96457,busy_market,Market Area 177,5,Crowded area; safe but watch for pickpocketing.
11.016107,76.978641,community_watch,Community Watch Point 178,10,Active local community monitoring area.
11.029143,76.957588,well_lit_area,Well Lit Street 179,7,Street has good lighting; relatively safer at night.
11.019247,77.045959,night_patrol_point,Night Patrol Point 180,10,Regular police patrol during night.
11.076297,76.925001,well_lit_area,Well Lit Street 181,6,Street has good lighting; relatively safer at night.
11.003432,76.952882,hospital,Hospital 182,8,Emergency medical services available nearby.
11.047465,76.880101,night_patrol_point,Night Patrol Point 183,7,Regular police patrol during night.
11.087315,76.956085,police_station,Police Station 184,6,Nearby police presence improves safety.
10.976792,76.852306,crime_hotspot,Reported Incident Zone 185,1,Area with past reported theft or incidents; caution advised.
11.098642,76.97847,community_watch,Community Watch Point 186,9,Active local community monitoring area.
11.013046,76.982061,well_lit_area,Well Lit Street 187,6,Street has good lighting; relatively safer at night.
11.015902,76.96095,night_patrol_point,Night Patrol Point 188,10,Regular police patrol during night.
11.084294,77.029969,isolated_area,Isolated Stretch 189,1,Low foot traffic; avoid during late hours.
10.956822,76.901068,crime_hotspot,Reported Incident Zone 190,2,Area with past reported theft or incidents; caution advised.
11.006404,77.034549,school_zone,School Zone 191,10,Frequent pedestrian movement; safer during day.
10.971505,76.945749,well_lit_area,Well Lit Street 192,6,Street has good lighting; relatively safer at night.
11.069861,76.981937,well_lit_area,Well Lit Street 193,10,Street has good lighting; relatively safer at night.
10.96819,76.975374,community_watch,Community Watch Point 194,10,Active local community monitoring area.
11.050534,77.029449,night_patrol_point,Night Patrol Point 195,8,Regular police patrol during night.
11.052333,76.958657,community_watch,Community Watch Point 196,8,Active local community monitoring area.
11.016489,77.034675,crime_hotspot,Reported Incident Zone 197,1,Area with past reported theft or incidents; caution advised.
10.991544,76.947556,isolated_area,Isolated Stretch 198,2,Low foot traffic; avoid during late hours.
10.952909,76.883221,well_lit_area,Well Lit Street 199,9,Street has good lighting; relatively safer at night.
10.991647,76.88746,night_patrol_point,Night Patrol Point 200,6,Regular police patrol during night.
10.971688,76.891374,traffic_risk,Accident Prone Area 201,4,High accident probability due to traffic conditions.
10.970319,76.982441,isolated_area,Isolated Stretch 202,1,Low foot traffic; avoid during late hours.
11.080598,76.999545,school_zone,School Zone 203,10,Frequent pedestrian movement; safer during day.
11.054335,77.029714,night_patrol_point,Night Patrol Point 204,6,Regular police patrol during night.
10.978644,77.021853,isolated_area,Isolated Stretch 205,1,Low foot traffic; avoid during late hours.
11.08527,77.047847,police_station,Police Station 206,6,Nearby police presence improves safety.
10.973278,77.030622,isolated_area,Isolated Stretch 207,3,Low foot traffic; avoid during late hours.
11.069032,76.993808,crime_hotspot,Reported Incident Zone 208,2,Area with past reported theft or incidents; caution advised.
11.074437,76.938526,well_lit_area,Well Lit Street 209,6,Street has good lighting; relatively safer at night.
10.984926,76.928221,crime_hotspot,Reported Incident Zone 210,2,Area with past reported theft or incidents; caution advised.
10.9528,76.89753,hospital,Hospital 211,7,Emergency medical services available nearby.
11.087151,77.030762,school_zone,School Zone 212,6,Frequent pedestrian movement; safer during day.
11.066716,76.903846,traffic_risk,Accident Prone Area 213,3,High accident probability due to traffic conditions.
11.025873,76.996214,hospital,Hospital 214,8,Emergency medical services available nearby.
10.994294,76.955447,well_lit_area,Well Lit Street 215,9,Street has good lighting; relatively safer at night.
10.976064,77.045878,night_patrol_point,Night Patrol Point 216,10,Regular police patrol during night.
11.00837,76.984463,well_lit_area,Well Lit Street 217,7,Street has good lighting; relatively safer at night.
11.028751,76.901195,school_zone,School Zone 218,7,Frequent pedestrian movement; safer during day.
11.099893,77.00668,community_watch,Community Watch Point 219,10,Active local community monitoring area.
11.079609,76.882347,isolated_area,Isolated Stretch 220,4,Low foot traffic; avoid during late hours.
11.058823,76.988917,hospital,Hospital 221,7,Emergency medical services available nearby.
10.954093,77.041943,police_station,Police Station 222,8,Nearby police presence improves safety.
11.074446,76.85278,traffic_risk,Accident Prone Area 223,4,High accident probability due to traffic conditions.
10.965952,76.972935,well_lit_area,Well Lit Street 224,6,Street has good lighting; relatively safer at night.
10.950555,77.01069,community_watch,Community Watch Point 225,10,Active local community monitoring area.
11.078812,76.948162,night_patrol_point,Night Patrol Point 226,9,Regular police patrol during night.
10.957694,76.938589,hospital,Hospital 227,10,Emergency medical services available nearby.
10.951925,76.901768,crime_hotspot,Reported Incident Zone 228,3,Area with past reported theft or incidents; caution advised.
11.032436,77.008417,police_station,Police Station 229,9,Nearby police presence improves safety.
11.037485,76.874311,school_zone,School Zone 230,8,Frequent pedestrian movement; safer during day.
10.976629,76.986971,hospital,Hospital 231,8,Emergency medical services available nearby.
11.085125,76.92659,well_lit_area,Well Lit Street 232,6,Street has good lighting; relatively safer at night.
11.077757,76.993293,isolated_area,Isolated Stretch 233,1,Low foot traffic; avoid during late hours.
11.046836,76.980898,night_patrol_point,Night Patrol Point 234,7,Regular police patrol during night.
11.003494,77.049031,well_lit_area,Well Lit Street 235,8,Street has good lighting; relatively safer at night.
11.089472,77.033345,community_watch,Community Watch Point 236,6,Active local community monitoring area.
11.065307,77.021124,well_lit_area,Well Lit Street 237,10,Street has good lighting; relatively safer at night.
11.020942,77.021323,school_zone,School Zone 238,10,Frequent pedestrian movement; safer during day.
11.059625,76.983063,school_zone,School Zone 239,8,Frequent pedestrian movement; safer during day.
10.992625,77.015546,isolated_area,Isolated Stretch 240,1,Low foot traffic; avoid during late hours.
11.078866,76.919316,traffic_risk,Accident Prone Area 241,1,High accident probability due to traffic conditions.
10.953596,76.938414,isolated_area,Isolated Stretch 242,2,Low foot traffic; avoid during late hours.
11.022128,76.992681,community_watch,Community Watch Point 243,6,Active local community monitoring area.
11.047081,76.869422,night_patrol_point,Night Patrol Point 244,7,Regular police patrol during night.
11.097165,76.886943,traffic_risk,Accident Prone Area 245,1,High accident probability due to traffic conditions.
10.97223,76.977392,crime_hotspot,Reported Incident Zone 246,3,Area with past reported theft or incidents; caution advised.
10.964184,76.996236,hospital,Hospital 247,7,Emergency medical services available nearby.
11.076451,76.967626,well_lit_area,Well Lit Street 248,9,Street has good lighting; relatively safer at night.
11.082508,76.918776,well_lit_area,Well Lit Street 249,9,Street has good lighting; relatively safer at night.
11.092071,77.004113,crime_hotspot,Reported Incident Zone 250,4,Area with past reported theft or incidents; caution advised.
11.041705,76.9446,well_lit_area,Well Lit Street 251,7,Street has good lighting; relatively safer at night.
10.971386,77.026556,busy_market,Market Area 252,6,Crowded area; safe but watch for pickpocketing.
11.023471,76.92412,night_patrol_point,Night Patrol Point 253,10,Regular police patrol during night.
11.034339,76.960979,hospital,Hospital 254,10,Emergency medical services available nearby.
11.045213,76.921372,police_station,Police Station 255,7,Nearby police presence improves safety.
10.989777,76.908862,isolated_area,Isolated Stretch 256,2,Low foot traffic; avoid during late hours.
11.01302,76.864916,police_station,Police Station 257,10,Nearby police presence improves safety.
10.997878,76.94118,well_lit_area,Well Lit Street 258,10,Street has good lighting; relatively safer at night.
11.023015,77.000875,isolated_area,Isolated Stretch 259,3,Low foot traffic; avoid during late hours.
11.035766,76.861419,community_watch,Community Watch Point 260,6,Active local community monitoring area.
11.064457,76.950409,police_station,Police Station 261,6,Nearby police presence improves safety.
10.96143,77.024922,well_lit_area,Well Lit Street 262,10,Street has good lighting; relatively safer at night.
11.033949,76.998676,hospital,Hospital 263,8,Emergency medical services available nearby.
11.082563,77.028534,traffic_risk,Accident Prone Area 264,2,High accident probability due to traffic conditions.
11.083704,76.949828,hospital,Hospital 265,8,Emergency medical services available nearby.
11.009446,76.995738,hospital,Hospital 266,7,Emergency medical services available nearby.
11.035414,76.981274,isolated_area,Isolated Stretch 267,1,Low foot traffic; avoid during late hours.
11.049653,77.044934,school_zone,School Zone 268,8,Frequent pedestrian movement; safer during day.
10.997291,77.040498,isolated_area,Isolated Stretch 269,1,Low foot traffic; avoid during late hours.
10.959418,76.956912,hospital,Hospital 270,9,Emergency medical services available nearby.
10.988493,76.951206,community_watch,Community Watch Point 271,8,Active local community monitoring area.
11.008053,77.004504,crime_hotspot,Reported Incident Zone 272,4,Area with past reported theft or incidents; caution advised.
10.979004,76.978434,police_station,Police Station 273,6,Nearby police presence improves safety.
10.97858,76.886095,busy_market,Market Area 274,5,Crowded area; safe but watch for pickpocketing.
11.067649,76.878481,community_watch,Community Watch Point 275,9,Active local community monitoring area.
11.04336,76.964141,crime_hotspot,Reported Incident Zone 276,2,Area with past reported theft or incidents; caution advised.
11.062619,76.986241,school_zone,School Zone 277,8,Frequent pedestrian movement; safer during day.
10.990731,76.930735,traffic_risk,Accident Prone Area 278,4,High accident probability due to traffic conditions.
11.037382,76.94453,busy_market,Market Area 279,4,Crowded area; safe but watch for pickpocketing.
11.079651,76.875863,well_lit_area,Well Lit Street 280,7,Street has good lighting; relatively safer at night.
10.973772,76.951015,crime_hotspot,Reported Incident Zone 281,1,Area with past reported theft or incidents; caution advised.
11.06059,76.862846,school_zone,School Zone 282,10,Frequent pedestrian movement; safer during day.
11.090026,76.985861,police_station,Police Station 283,8,Nearby police presence improves safety.
10.998297,76.92356,well_lit_area,Well Lit Street 284,6,Street has good lighting; relatively safer at night.
10.999085,76.873916,hospital,Hospital 285,6,Emergency medical services available nearby.
11.098446,76.871123,night_patrol_point,Night Patrol Point 286,9,Regular police patrol during night.
11.055878,76.907335,police_station,Police Station 287,8,Nearby police presence improves safety.
11.001747,76.942579,traffic_risk,Accident Prone Area 288,3,High accident probability due to traffic conditions.
11.018419,77.012247,night_patrol_point,Night Patrol Point 289,10,Regular police patrol during night.
10.957499,76.964363,traffic_risk,Accident Prone Area 290,1,High accident probability due to traffic conditions.
10.992951,76.951588,busy_market,Market Area 291,6,Crowded area; safe but watch for pickpocketing.
10.997781,76.934684,busy_market,Market Area 292,5,Crowded area; safe but watch for pickpocketing.
11.06915,76.857075,police_station,Police Station 293,10,Nearby police presence improves safety.
11.048216,77.049899,isolated_area,Isolated Stretch 294,3,Low foot traffic; avoid during late hours.
10.992705,76.963382,community_watch,Community Watch Point 295,10,Active local community monitoring area.
10.973833,76.909757,night_patrol_point,Night Patrol Point 296,10,Regular police patrol during night.
11.035549,76.924957,night_patrol_point,Night Patrol Point 297,9,Regular police patrol during night.
11.083105,77.027266,isolated_area,Isolated Stretch 298,3,Low foot traffic; avoid during late hours.
11.074843,76.931158,traffic_risk,Accident Prone Area 299,4,High accident probability due to traffic conditions.
11.006685,76.986864,traffic_risk,Accident Prone Area 300,4,High accident probability due to traffic conditions.
11.077439,76.994268,well_lit_area,Well Lit Street 301,6,Street has good lighting; relatively safer at night.
11.034815,76.934916,community_watch,Community Watch Point 302,8,Active local community monitoring area.
10.988188,76.919127,community_watch,Community Watch Point 303,10,Active local community monitoring area.
11.061641,76.962016,community_watch,Community Watch Point 304,6,Active local community monitoring area.
11.092404,76.928575,night_patrol_point,Night Patrol Point 305,10,Regular police patrol during night.
11.060291,76.888657,isolated_area,Isolated Stretch 306,3,Low foot traffic; avoid during late hours.
10.969502,76.962894,traffic_risk,Accident Prone Area 307,2,High accident probability due to traffic conditions.
11.02321,76.99675,isolated_area,Isolated Stretch 308,3,Low foot traffic; avoid during late hours.
10.953665,76.919414,busy_market,Market Area 309,5,Crowded area; safe but watch for pickpocketing.
10.979441,76.934069,isolated_area,Isolated Stretch 310,3,Low foot traffic; avoid during late hours.
11.052644,76.933214,community_watch,Community Watch Point 311,7,Active local community monitoring area.
11.002482,76.925497,hospital,Hospital 312,7,Emergency medical services available nearby.
11.034369,76.925171,police_station,Police Station 313,9,Nearby police presence improves safety.
11.099984,76.908757,police_station,Police Station 314,7,Nearby police presence improves safety.
11.079933,76.957424,school_zone,School Zone 315,9,Frequent pedestrian movement; safer during day.
10.99078,76.993453,well_lit_area,Well Lit Street 316,9,Street has good lighting; relatively safer at night.
11.050964,77.015506,hospital,Hospital 317,6,Emergency medical services available nearby.
11.098349,76.971178,night_patrol_point,Night Patrol Point 318,7,Regular police patrol during night.
10.980514,76.900978,school_zone,School Zone 319,9,Frequent pedestrian movement; safer during day.
10.982799,76.937708,community_watch,Community Watch Point 320,6,Active local community monitoring area.
11.099718,76.858738,night_patrol_point,Night Patrol Point 321,7,Regular police patrol during night.
11.031308,76.991575,crime_hotspot,Reported Incident Zone 322,4,Area with past reported theft or incidents; caution advised.
11.058414,76.97507,police_station,Police Station 323,8,Nearby police presence improves safety.
11.091483,76.899748,well_lit_area,Well Lit Street 324,10,Street has good lighting; relatively safer at night.
11.017983,76.854742,crime_hotspot,Reported Incident Zone 325,3,Area with past reported theft or incidents; caution advised.
10.958054,76.860363,hospital,Hospital 326,10,Emergency medical services available nearby.
11.021409,76.935825,police_station,Police Station 327,6,Nearby police presence improves safety.
11.067559,76.917314,busy_market,Market Area 328,5,Crowded area; safe but watch for pickpocketing.
