id,category,latitude,longitude,safety_score,geom
44,street_light,13.041803,80.30372,20,POINT(80.30372 13.041803)
45,theft_burglary,13.063462,80.27947,-40,POINT(80.27947 13.063462)
46,street_light,12.942657,80.308865,20,POINT(80.308865 12.942657)
47,police_station,13.077166,80.198437,100,POINT(80.198437 13.077166)
48,street_light,13.0033,80.17411,20,POINT(80.17411 13.0033)
49,street_light,13.132911,80.299834,20,POINT(80.299834 13.132911)
50,transit_stop,13.071871,80.226741,10,POINT(80.226741 13.071871)
51,store_24h,13.013519,80.226512,30,POINT(80.226512 13.013519)
52,transit_stop,12.974564,80.24436,10,POINT(80.24436 12.974564)
53,theft_burglary,12.917585,80.221888,-40,POINT(80.221888 12.917585)
54,street_light,12.918391,80.199756,20,POINT(80.199756 12.918391)
55,street_light,13.118533,80.254961,20,POINT(80.254961 13.118533)
56,hotspot,12.960253,80.236772,-60,POINT(80.236772 12.960253)
57,street_light,13.137202,80.221952,20,POINT(80.221952 13.137202)
58,dark_alley,13.037702,80.251812,-20,POINT(80.251812 13.037702)
59,transit_stop,13.040396,80.250106,10,POINT(80.250106 13.040396)
60,street_light,13.14877,80.174727,20,POINT(80.174727 13.14877)
61,transit_stop,13.091736,80.195794,10,POINT(80.195794 13.091736)
62,theft_burglary,13.13277,80.20148,-40,POINT(80.20148 13.13277)
63,transit_stop,13.028377,80.183818,10,POINT(80.183818 13.028377)
64,street_light,13.117584,80.279444,20,POINT(80.279444 13.117584)
65,transit_stop,13.067151,80.288095,10,POINT(80.288095 13.067151)
66,dark_alley,13.072547,80.218848,-20,POINT(80.218848 13.072547)
67,transit_stop,13.012515,80.186738,10,POINT(80.186738 13.012515)
68,street_light,12.972403,80.296987,20,POINT(80.296987 12.972403)
69,transit_stop,13.034521,80.280317,10,POINT(80.280317 13.034521)
70,transit_stop,12.990561,80.225404,10,POINT(80.225404 12.990561)
71,street_light,13.101156,80.29681,20,POINT(80.29681 13.101156)
72,hotspot,12.955579,80.22383,-60,POINT(80.22383 12.955579)
73,store_24h,13.060633,80.172269,30,POINT(80.172269 13.060633)
74,dark_alley,12.945052,80.191183,-20,POINT(80.191183 12.945052)
75,theft_burglary,12.98493,80.27571,-40,POINT(80.27571 12.98493)
76,dark_alley,12.951799,80.213241,-20,POINT(80.213241 12.951799)
77,dark_alley,13.026533,80.265016,-20,POINT(80.265016 13.026533)
78,hotspot,12.934342,80.210433,-60,POINT(80.210433 12.934342)
79,street_light,13.129353,80.183386,20,POINT(80.183386 13.129353)
80,store_24h,13.079624,80.223232,30,POINT(80.223232 13.079624)
81,police_station,13.068049,80.229357,100,POINT(80.229357 13.068049)
82,store_24h,12.939757,80.184216,30,POINT(80.184216 12.939757)
83,hotspot,13.1315,80.293528,-60,POINT(80.293528 13.1315)
84,street_light,12.98749,80.29076,20,POINT(80.29076 12.98749)
85,hotspot,12.949593,80.250701,-60,POINT(80.250701 12.949593)
86,street_light,12.902737,80.284981,20,POINT(80.284981 12.902737)
87,transit_stop,13.142024,80.199459,10,POINT(80.199459 13.142024)
88,hotspot,13.020381,80.29714,-60,POINT(80.29714 13.020381)
89,transit_stop,12.923559,80.200123,10,POINT(80.200123 12.923559)
90,transit_stop,13.139052,80.191005,10,POINT(80.191005 13.139052)
91,dark_alley,13.031536,80.232896,-20,POINT(80.232896 13.031536)
92,transit_stop,13.147641,80.221962,10,POINT(80.221962 13.147641)
93,dark_alley,12.924323,80.184493,-20,POINT(80.184493 12.924323)
94,dark_alley,13.00233,80.269033,-20,POINT(80.269033 13.00233)
95,police_station,12.987188,80.202454,100,POINT(80.202454 12.987188)
96,street_light,13.006691,80.270823,20,POINT(80.270823 13.006691)
97,street_light,13.059787,80.19665,20,POINT(80.19665 13.059787)
98,hospital_clinic,12.955369,80.201554,50,POINT(80.201554 12.955369)
99,store_24h,12.932873,80.210217,30,POINT(80.210217 12.932873)
100,street_light,13.136842,80.174595,20,POINT(80.174595 13.136842)
101,transit_stop,12.953561,80.231121,10,POINT(80.231121 12.953561)
102,dark_alley,13.097362,80.178073,-20,POINT(80.178073 13.097362)
103,store_24h,13.147168,80.24659,30,POINT(80.24659 13.147168)
104,street_light,13.06825,80.225802,20,POINT(80.225802 13.06825)
105,transit_stop,13.130938,80.276641,10,POINT(80.276641 13.130938)
106,hospital_clinic,12.994177,80.218053,50,POINT(80.218053 12.994177)
107,transit_stop,12.956257,80.228996,10,POINT(80.228996 12.956257)
108,dark_alley,13.101676,80.220724,-20,POINT(80.220724 13.101676)
109,theft_burglary,12.956232,80.174184,-40,POINT(80.174184 12.956232)
110,street_light,12.996342,80.218559,20,POINT(80.218559 12.996342)
111,street_light,13.113995,80.185608,20,POINT(80.185608 13.113995)
112,street_light,12.993161,80.255855,20,POINT(80.255855 12.993161)
113,dark_alley,13.10624,80.22579,-20,POINT(80.22579 13.10624)
114,assault_robbery,12.900558,80.306827,-100,POINT(80.306827 12.900558)
115,street_light,13.023895,80.260712,20,POINT(80.260712 13.023895)
116,transit_stop,12.991489,80.230954,10,POINT(80.230954 12.991489)
117,assault_robbery,12.984398,80.173343,-100,POINT(80.173343 12.984398)
118,dark_alley,13.14906,80.256583,-20,POINT(80.256583 13.14906)
119,theft_burglary,12.936726,80.240689,-40,POINT(80.240689 12.936726)
120,dark_alley,12.980689,80.227922,-20,POINT(80.227922 12.980689)
121,street_light,13.106993,80.173637,20,POINT(80.173637 13.106993)
122,street_light,13.090368,80.180421,20,POINT(80.180421 13.090368)
123,street_light,13.080362,80.252283,20,POINT(80.252283 13.080362)
124,street_light,13.143729,80.190219,20,POINT(80.190219 13.143729)
125,store_24h,12.901337,80.23761,30,POINT(80.23761 12.901337)
126,theft_burglary,12.949414,80.293046,-40,POINT(80.293046 12.949414)
127,hotspot,12.974368,80.245719,-60,POINT(80.245719 12.974368)
128,police_station,12.956108,80.247786,100,POINT(80.247786 12.956108)
129,dark_alley,13.025272,80.252689,-20,POINT(80.252689 13.025272)
130,street_light,13.05197,80.282931,20,POINT(80.282931 13.05197)
131,store_24h,12.94629,80.232723,30,POINT(80.232723 12.94629)
132,hotspot,12.923548,80.22509,-60,POINT(80.22509 12.923548)
133,transit_stop,13.107866,80.201156,10,POINT(80.201156 13.107866)
134,street_light,12.926185,80.199465,20,POINT(80.199465 12.926185)
135,street_light,13.0979,80.258665,20,POINT(80.258665 13.0979)
136,street_light,12.980525,80.196175,20,POINT(80.196175 12.980525)
137,dark_alley,13.031612,80.236829,-20,POINT(80.236829 13.031612)
138,street_light,12.941263,80.196094,20,POINT(80.196094 12.941263)
139,street_light,12.99968,80.230372,20,POINT(80.230372 12.99968)
140,store_24h,12.997767,80.24371,30,POINT(80.24371 12.997767)
141,police_station,13.066887,80.251535,100,POINT(80.251535 13.066887)
142,street_light,13.041001,80.236655,20,POINT(80.236655 13.041001)
143,assault_robbery,13.066328,80.174829,-100,POINT(80.174829 13.066328)
144,street_light,13.083509,80.299621,20,POINT(80.299621 13.083509)
145,store_24h,12.913231,80.293413,30,POINT(80.293413 12.913231)
146,hospital_clinic,13.120583,80.289103,50,POINT(80.289103 13.120583)
147,theft_burglary,12.940061,80.206174,-40,POINT(80.206174 12.940061)
148,street_light,13.040789,80.242468,20,POINT(80.242468 13.040789)
149,transit_stop,12.906851,80.264586,10,POINT(80.264586 12.906851)
150,store_24h,12.95927,80.220527,30,POINT(80.220527 12.95927)
151,transit_stop,13.146496,80.250835,10,POINT(80.250835 13.146496)
152,transit_stop,13.094409,80.309901,10,POINT(80.309901 13.094409)
153,street_light,13.092502,80.270226,20,POINT(80.270226 13.092502)
154,dark_alley,13.052956,80.176803,-20,POINT(80.176803 13.052956)
155,theft_burglary,12.983786,80.30902,-40,POINT(80.30902 12.983786)
156,store_24h,12.963895,80.300155,30,POINT(80.300155 12.963895)
157,street_light,13.071972,80.189995,20,POINT(80.189995 13.071972)
158,hotspot,13.117907,80.225117,-60,POINT(80.225117 13.117907)
159,police_station,13.101947,80.191275,100,POINT(80.191275 13.101947)
160,hotspot,12.997066,80.215815,-60,POINT(80.215815 12.997066)
161,street_light,12.976409,80.224368,20,POINT(80.224368 12.976409)
162,hotspot,13.041471,80.269049,-60,POINT(80.269049 13.041471)
163,transit_stop,13.075033,80.283017,10,POINT(80.283017 13.075033)
164,hotspot,13.086152,80.237107,-60,POINT(80.237107 13.086152)
165,transit_stop,13.01718,80.199814,10,POINT(80.199814 13.01718)
166,street_light,13.132825,80.175134,20,POINT(80.175134 13.132825)
167,street_light,12.959044,80.227703,20,POINT(80.227703 12.959044)
168,assault_robbery,13.014548,80.228592,-100,POINT(80.228592 13.014548)
169,store_24h,13.087109,80.172129,30,POINT(80.172129 13.087109)
170,dark_alley,13.023092,80.209849,-20,POINT(80.209849 13.023092)
171,transit_stop,12.931352,80.237076,10,POINT(80.237076 12.931352)
172,transit_stop,13.149846,80.195125,10,POINT(80.195125 13.149846)
173,assault_robbery,13.067236,80.270003,-100,POINT(80.270003 13.067236)
174,street_light,13.13264,80.225855,20,POINT(80.225855 13.13264)
175,store_24h,12.920732,80.275437,30,POINT(80.275437 12.920732)
176,assault_robbery,13.031658,80.184322,-100,POINT(80.184322 13.031658)
177,street_light,12.902093,80.298664,20,POINT(80.298664 12.902093)
178,street_light,13.091091,80.235826,20,POINT(80.235826 13.091091)
179,store_24h,13.027462,80.276978,30,POINT(80.276978 13.027462)
180,store_24h,13.128131,80.176245,30,POINT(80.176245 13.128131)
181,transit_stop,13.141497,80.236476,10,POINT(80.236476 13.141497)
182,assault_robbery,13.101251,80.292832,-100,POINT(80.292832 13.101251)
183,dark_alley,12.914135,80.207152,-20,POINT(80.207152 12.914135)
184,theft_burglary,13.133232,80.24781,-40,POINT(80.24781 13.133232)
185,street_light,13.039993,80.183846,20,POINT(80.183846 13.039993)
186,transit_stop,12.914744,80.268121,10,POINT(80.268121 12.914744)
187,street_light,13.104591,80.199842,20,POINT(80.199842 13.104591)
188,dark_alley,13.130423,80.187439,-20,POINT(80.187439 13.130423)
189,transit_stop,13.091002,80.201393,10,POINT(80.201393 13.091002)
190,store_24h,13.103843,80.185234,30,POINT(80.185234 13.103843)
191,assault_robbery,13.108609,80.224684,-100,POINT(80.224684 13.108609)
192,street_light,12.949987,80.287557,20,POINT(80.287557 12.949987)
193,theft_burglary,12.909996,80.222758,-40,POINT(80.222758 12.909996)
194,store_24h,13.0444,80.253096,30,POINT(80.253096 13.0444)
195,dark_alley,13.04866,80.224306,-20,POINT(80.224306 13.04866)
196,street_light,13.074847,80.308705,20,POINT(80.308705 13.074847)
197,transit_stop,13.065486,80.260916,10,POINT(80.260916 13.065486)
198,police_station,13.020576,80.185371,100,POINT(80.185371 13.020576)
199,theft_burglary,13.034474,80.2714,-40,POINT(80.2714 13.034474)
200,police_station,13.115388,80.302224,100,POINT(80.302224 13.115388)
201,street_light,13.021369,80.269843,20,POINT(80.269843 13.021369)
202,dark_alley,12.919339,80.180751,-20,POINT(80.180751 12.919339)
203,hotspot,13.117399,80.200729,-60,POINT(80.200729 13.117399)
204,hospital_clinic,12.920635,80.212247,50,POINT(80.212247 12.920635)
205,street_light,13.000109,80.236354,20,POINT(80.236354 13.000109)
206,store_24h,12.904804,80.291037,30,POINT(80.291037 12.904804)
207,police_station,13.129764,80.232367,100,POINT(80.232367 13.129764)
208,transit_stop,13.049144,80.221952,10,POINT(80.221952 13.049144)
209,store_24h,12.900311,80.289133,30,POINT(80.289133 12.900311)
210,theft_burglary,13.000945,80.257945,-40,POINT(80.257945 13.000945)
211,police_station,12.990886,80.278385,100,POINT(80.278385 12.990886)
212,hotspot,13.006304,80.197069,-60,POINT(80.197069 13.006304)
213,theft_burglary,12.931582,80.186909,-40,POINT(80.186909 12.931582)
214,dark_alley,13.117772,80.175633,-20,POINT(80.175633 13.117772)
215,transit_stop,13.111277,80.284647,10,POINT(80.284647 13.111277)
216,dark_alley,12.997088,80.220164,-20,POINT(80.220164 12.997088)
217,street_light,13.121131,80.192611,20,POINT(80.192611 13.121131)
218,street_light,13.146463,80.214488,20,POINT(80.214488 13.146463)
219,transit_stop,12.903167,80.203323,10,POINT(80.203323 12.903167)
220,police_station,13.067742,80.219462,100,POINT(80.219462 13.067742)
221,transit_stop,13.128075,80.294606,10,POINT(80.294606 13.128075)
222,assault_robbery,13.020732,80.256895,-100,POINT(80.256895 13.020732)
223,street_light,13.099917,80.298966,20,POINT(80.298966 13.099917)
224,hotspot,12.930598,80.243008,-60,POINT(80.243008 12.930598)
225,transit_stop,13.102616,80.277079,10,POINT(80.277079 13.102616)
226,street_light,12.957349,80.266394,20,POINT(80.266394 12.957349)
227,transit_stop,13.034788,80.291081,10,POINT(80.291081 13.034788)
228,street_light,12.963349,80.263473,20,POINT(80.263473 12.963349)
229,street_light,13.136267,80.202066,20,POINT(80.202066 13.136267)
230,hospital_clinic,13.079588,80.249842,50,POINT(80.249842 13.079588)
231,police_station,12.98985,80.265358,100,POINT(80.265358 12.98985)
232,store_24h,12.906422,80.255368,30,POINT(80.255368 12.906422)
233,transit_stop,12.969508,80.238256,10,POINT(80.238256 12.969508)
234,hotspot,12.936855,80.232824,-60,POINT(80.232824 12.936855)
235,transit_stop,13.067797,80.246226,10,POINT(80.246226 13.067797)
236,store_24h,13.116373,80.289011,30,POINT(80.289011 13.116373)
237,street_light,13.093252,80.235162,20,POINT(80.235162 13.093252)
238,street_light,12.95781,80.291565,20,POINT(80.291565 12.95781)
239,theft_burglary,13.097921,80.271949,-40,POINT(80.271949 13.097921)
240,dark_alley,12.903387,80.203069,-20,POINT(80.203069 12.903387)
241,store_24h,12.908042,80.303755,30,POINT(80.303755 12.908042)
242,street_light,13.036689,80.260223,20,POINT(80.260223 13.036689)
243,street_light,12.987012,80.249446,20,POINT(80.249446 12.987012)
244,transit_stop,13.137222,80.189362,10,POINT(80.189362 13.137222)
245,store_24h,12.904833,80.20032,30,POINT(80.20032 12.904833)
246,transit_stop,12.921481,80.24725,10,POINT(80.24725 12.921481)
247,hospital_clinic,12.988114,80.207773,50,POINT(80.207773 12.988114)
248,store_24h,13.077119,80.220906,30,POINT(80.220906 13.077119)
249,street_light,13.063303,80.182323,20,POINT(80.182323 13.063303)
250,transit_stop,13.082408,80.2229,10,POINT(80.2229 13.082408)
251,theft_burglary,13.08986,80.26394,-40,POINT(80.26394 13.08986)
252,dark_alley,13.074666,80.270046,-20,POINT(80.270046 13.074666)
253,store_24h,13.080703,80.183315,30,POINT(80.183315 13.080703)
254,police_station,13.122034,80.208159,100,POINT(80.208159 13.122034)
255,dark_alley,13.013541,80.278557,-20,POINT(80.278557 13.013541)
256,dark_alley,13.070097,80.300277,-20,POINT(80.300277 13.070097)
257,store_24h,13.061397,80.174083,30,POINT(80.174083 13.061397)
258,dark_alley,12.957485,80.282766,-20,POINT(80.282766 12.957485)
259,store_24h,13.132091,80.24235,30,POINT(80.24235 13.132091)
260,theft_burglary,12.919609,80.179186,-40,POINT(80.179186 12.919609)
261,assault_robbery,13.042137,80.278124,-100,POINT(80.278124 13.042137)
262,store_24h,13.108232,80.268918,30,POINT(80.268918 13.108232)
263,street_light,13.080475,80.302055,20,POINT(80.302055 13.080475)
264,dark_alley,12.968363,80.272894,-20,POINT(80.272894 12.968363)
265,transit_stop,12.959229,80.244839,10,POINT(80.244839 12.959229)
266,dark_alley,13.063108,80.272024,-20,POINT(80.272024 13.063108)
267,dark_alley,13.009686,80.184044,-20,POINT(80.184044 13.009686)
268,police_station,13.041818,80.273378,100,POINT(80.273378 13.041818)
269,dark_alley,13.088373,80.291855,-20,POINT(80.291855 13.088373)
270,dark_alley,13.007414,80.204092,-20,POINT(80.204092 13.007414)
271,street_light,13.016722,80.293811,20,POINT(80.293811 13.016722)
272,transit_stop,12.989112,80.274039,10,POINT(80.274039 12.989112)
273,hotspot,12.942414,80.212766,-60,POINT(80.212766 12.942414)
274,theft_burglary,13.012808,80.22581,-40,POINT(80.22581 13.012808)
275,street_light,12.913851,80.298395,20,POINT(80.298395 12.913851)
276,transit_stop,13.032966,80.302605,10,POINT(80.302605 13.032966)
277,dark_alley,12.949682,80.213999,-20,POINT(80.213999 12.949682)
278,hospital_clinic,13.038688,80.227296,50,POINT(80.227296 13.038688)
279,street_light,13.018215,80.178528,20,POINT(80.178528 13.018215)
280,street_light,12.989105,80.25897,20,POINT(80.25897 12.989105)
281,transit_stop,13.005943,80.245095,10,POINT(80.245095 13.005943)
282,transit_stop,13.102557,80.210904,10,POINT(80.210904 13.102557)
283,hospital_clinic,12.946905,80.201235,50,POINT(80.201235 12.946905)
284,police_station,13.051436,80.286542,100,POINT(80.286542 13.051436)
285,police_station,13.020606,80.177232,100,POINT(80.177232 13.020606)
286,street_light,13.112174,80.179563,20,POINT(80.179563 13.112174)
287,street_light,12.935153,80.187123,20,POINT(80.187123 12.935153)
288,police_station,13.045422,80.220245,100,POINT(80.220245 13.045422)
289,street_light,12.984489,80.229738,20,POINT(80.229738 12.984489)
290,transit_stop,13.032783,80.240275,10,POINT(80.240275 13.032783)
291,hospital_clinic,13.088326,80.297729,50,POINT(80.297729 13.088326)
292,assault_robbery,13.066851,80.197901,-100,POINT(80.197901 13.066851)
293,transit_stop,12.966675,80.214448,10,POINT(80.214448 12.966675)
294,theft_burglary,13.027413,80.194947,-40,POINT(80.194947 13.027413)
295,hotspot,13.081516,80.293459,-60,POINT(80.293459 13.081516)
296,hotspot,13.001282,80.188782,-60,POINT(80.188782 13.001282)
297,theft_burglary,13.147012,80.253843,-40,POINT(80.253843 13.147012)
298,transit_stop,13.044462,80.22326,10,POINT(80.22326 13.044462)
299,assault_robbery,12.933923,80.304575,-100,POINT(80.304575 12.933923)
300,assault_robbery,12.971042,80.252158,-100,POINT(80.252158 12.971042)
301,assault_robbery,13.093513,80.208157,-100,POINT(80.208157 13.093513)
302,store_24h,13.043135,80.181554,30,POINT(80.181554 13.043135)
303,store_24h,13.003386,80.229139,30,POINT(80.229139 13.003386)
304,store_24h,13.036699,80.228305,30,POINT(80.228305 13.036699)
305,street_light,13.135001,80.214584,20,POINT(80.214584 13.135001)
306,store_24h,12.950565,80.260127,30,POINT(80.260127 12.950565)
307,street_light,13.037314,80.186657,20,POINT(80.186657 13.037314)
308,hospital_clinic,12.908882,80.251673,50,POINT(80.251673 12.908882)
309,dark_alley,13.00076,80.181,-20,POINT(80.181 13.00076)
310,dark_alley,12.917106,80.199108,-20,POINT(80.199108 12.917106)
311,hotspot,13.129182,80.23256,-60,POINT(80.23256 13.129182)
312,theft_burglary,12.976946,80.21308,-40,POINT(80.21308 12.976946)
313,transit_stop,13.054633,80.195822,10,POINT(80.195822 13.054633)
314,street_light,13.09248,80.220466,20,POINT(80.220466 13.09248)
315,hotspot,13.145597,80.274528,-60,POINT(80.274528 13.145597)
316,police_station,12.921507,80.172648,100,POINT(80.172648 12.921507)
317,street_light,12.917398,80.249766,20,POINT(80.249766 12.917398)
318,dark_alley,13.023704,80.274568,-20,POINT(80.274568 13.023704)
319,hotspot,12.971033,80.204759,-60,POINT(80.204759 12.971033)
320,hospital_clinic,13.049722,80.239479,50,POINT(80.239479 13.049722)
321,dark_alley,13.103987,80.183227,-20,POINT(80.183227 13.103987)
322,theft_burglary,13.041881,80.23028,-40,POINT(80.23028 13.041881)
323,street_light,13.111293,80.225807,20,POINT(80.225807 13.111293)
324,dark_alley,13.117938,80.230063,-20,POINT(80.230063 13.117938)
325,dark_alley,13.139287,80.235687,-20,POINT(80.235687 13.139287)
326,dark_alley,13.065063,80.284016,-20,POINT(80.284016 13.065063)
327,street_light,13.076,80.307861,20,POINT(80.307861 13.076)
328,hospital_clinic,13.029159,80.288322,50,POINT(80.288322 13.029159)
329,store_24h,13.112984,80.218346,30,POINT(80.218346 13.112984)
330,street_light,12.931522,80.244352,20,POINT(80.244352 12.931522)
331,store_24h,12.933577,80.272533,30,POINT(80.272533 12.933577)
332,transit_stop,12.928865,80.206432,10,POINT(80.206432 12.928865)
333,street_light,12.927782,80.23707,20,POINT(80.23707 12.927782)
334,transit_stop,13.144769,80.238707,10,POINT(80.238707 13.144769)
335,street_light,13.010991,80.193015,20,POINT(80.193015 13.010991)
336,street_light,13.095396,80.246718,20,POINT(80.246718 13.095396)
337,dark_alley,13.033793,80.178256,-20,POINT(80.178256 13.033793)
338,store_24h,12.976517,80.297574,30,POINT(80.297574 12.976517)
339,store_24h,12.924382,80.233571,30,POINT(80.233571 12.924382)
340,assault_robbery,13.039616,80.263183,-100,POINT(80.263183 13.039616)
341,dark_alley,12.983217,80.250905,-20,POINT(80.250905 12.983217)
342,store_24h,12.984967,80.292772,30,POINT(80.292772 12.984967)
343,theft_burglary,12.981825,80.268498,-40,POINT(80.268498 12.981825)
344,dark_alley,12.956632,80.24164,-20,POINT(80.24164 12.956632)
345,street_light,13.004626,80.204513,20,POINT(80.204513 13.004626)
346,street_light,12.942381,80.227723,20,POINT(80.227723 12.942381)
347,street_light,13.015665,80.239297,20,POINT(80.239297 13.015665)
348,theft_burglary,12.917506,80.298673,-40,POINT(80.298673 12.917506)
349,theft_burglary,12.991258,80.288586,-40,POINT(80.288586 12.991258)
350,transit_stop,13.147722,80.281037,10,POINT(80.281037 13.147722)
351,theft_burglary,13.107606,80.199279,-40,POINT(80.199279 13.107606)
352,transit_stop,13.045536,80.282673,10,POINT(80.282673 13.045536)
353,police_station,12.921278,80.200538,100,POINT(80.200538 12.921278)
354,store_24h,12.989656,80.214406,30,POINT(80.214406 12.989656)
355,dark_alley,13.026395,80.182932,-20,POINT(80.182932 13.026395)
356,street_light,12.935147,80.216771,20,POINT(80.216771 12.935147)
357,transit_stop,13.112167,80.190886,10,POINT(80.190886 13.112167)
358,dark_alley,12.948317,80.235448,-20,POINT(80.235448 12.948317)
359,store_24h,12.954478,80.249184,30,POINT(80.249184 12.954478)
360,transit_stop,13.0878,80.247643,10,POINT(80.247643 13.0878)
361,theft_burglary,13.042157,80.234399,-40,POINT(80.234399 13.042157)
362,street_light,13.123135,80.236692,20,POINT(80.236692 13.123135)
363,transit_stop,12.98085,80.249683,10,POINT(80.249683 12.98085)
364,store_24h,13.106233,80.191437,30,POINT(80.191437 13.106233)
365,street_light,13.134691,80.235264,20,POINT(80.235264 13.134691)
366,transit_stop,13.014102,80.176789,10,POINT(80.176789 13.014102)
367,transit_stop,12.965692,80.309583,10,POINT(80.309583 12.965692)
368,police_station,13.103499,80.246225,100,POINT(80.246225 13.103499)
369,store_24h,13.134966,80.214141,30,POINT(80.214141 13.134966)
370,police_station,12.967863,80.182693,100,POINT(80.182693 12.967863)
371,theft_burglary,12.955241,80.216857,-40,POINT(80.216857 12.955241)
372,transit_stop,12.985739,80.266688,10,POINT(80.266688 12.985739)
373,transit_stop,13.029823,80.201852,10,POINT(80.201852 13.029823)
374,transit_stop,13.068297,80.185242,10,POINT(80.185242 13.068297)
375,assault_robbery,13.094614,80.208388,-100,POINT(80.208388 13.094614)
376,street_light,13.0449,80.247333,20,POINT(80.247333 13.0449)
377,street_light,13.017297,80.294105,20,POINT(80.294105 13.017297)
378,dark_alley,13.06143,80.297859,-20,POINT(80.297859 13.06143)
379,street_light,12.970515,80.210437,20,POINT(80.210437 12.970515)
380,hospital_clinic,12.982494,80.242122,50,POINT(80.242122 12.982494)
381,store_24h,12.995329,80.303245,30,POINT(80.303245 12.995329)
382,transit_stop,13.033678,80.25121,10,POINT(80.25121 13.033678)
383,dark_alley,12.926801,80.261261,-20,POINT(80.261261 12.926801)
384,theft_burglary,12.981512,80.223047,-40,POINT(80.223047 12.981512)
385,assault_robbery,12.967783,80.218082,-100,POINT(80.218082 12.967783)
386,street_light,13.115804,80.242155,20,POINT(80.242155 13.115804)
387,hotspot,12.983635,80.27488,-60,POINT(80.27488 12.983635)
388,assault_robbery,12.995766,80.254795,-100,POINT(80.254795 12.995766)
389,dark_alley,12.986564,80.201335,-20,POINT(80.201335 12.986564)
390,street_light,13.017266,80.274809,20,POINT(80.274809 13.017266)
391,street_light,12.969648,80.170882,20,POINT(80.170882 12.969648)
392,store_24h,13.088591,80.219324,30,POINT(80.219324 13.088591)
393,transit_stop,13.12101,80.208314,10,POINT(80.208314 13.12101)
394,street_light,12.985959,80.186716,20,POINT(80.186716 12.985959)
395,theft_burglary,12.916762,80.218349,-40,POINT(80.218349 12.916762)
396,transit_stop,12.936345,80.306251,10,POINT(80.306251 12.936345)
397,store_24h,12.970228,80.306215,30,POINT(80.306215 12.970228)
398,store_24h,12.957232,80.288281,30,POINT(80.288281 12.957232)
399,hospital_clinic,13.090147,80.248891,50,POINT(80.248891 13.090147)
400,police_station,13.085518,80.295906,100,POINT(80.295906 13.085518)
401,dark_alley,12.915696,80.21236,-20,POINT(80.21236 12.915696)
402,street_light,13.047895,80.257011,20,POINT(80.257011 13.047895)
403,transit_stop,12.927966,80.300111,10,POINT(80.300111 12.927966)
404,theft_burglary,13.115577,80.219897,-40,POINT(80.219897 13.115577)
405,transit_stop,12.902687,80.19503,10,POINT(80.19503 12.902687)
406,street_light,13.052105,80.179473,20,POINT(80.179473 13.052105)
407,street_light,13.128189,80.30568,20,POINT(80.30568 13.128189)
